replicate,K_W_per_K,UA_W_per_K,SSE,success
135,27793.956229783416,1799.7445278287514,1.2835791377647157,True
136,27899.297946401202,1801.1590453464655,1.3889615906425734,True
137,27864.013987247574,1796.300125064922,1.1264887646445008,True
138,28146.03810817225,1796.4893279791688,1.085996315327583,True
139,27750.327528002465,1796.6137393495421,0.7899777857590926,True
140,28277.699188912335,1795.6684898842914,0.9854287698311476,True
141,28047.145803853397,1803.5570482897756,0.9766531496296891,True
142,28202.14061002531,1793.49742194743,0.7435976988528145,True
143,28456.842949333324,1801.3329393925205,0.5654393499263245,True
144,28109.616830605697,1795.8594009465355,0.8730301570037602,True
145,28363.105071546626,1794.1824495927501,1.006498337923378,True
146,28111.647778696086,1800.761880118241,0.9875202969944707,True
147,28025.294749234945,1804.93884304349,0.8205278030595259,True
148,28106.306530157584,1803.5149262683829,1.1701192822184188,True
149,27834.555522133,1798.8282795605294,1.6684408370119441,True
150,28194.08097719153,1798.6055681923056,1.1555182635815546,True
151,28253.767462688804,1797.457829089579,1.3573541844446066,True
152,28006.035457369548,1797.9113052640123,1.3571712694286635,True
153,27825.344517045338,1801.604521581514,0.993482066839747,True
154,27589.88424409526,1805.307267297479,1.0107894917731728,True
155,28375.87919849948,1797.2272736494529,1.331603833185588,True
156,27688.2177424324,1797.8672337552573,1.2009309667018042,True
157,27835.56167967673,1796.7227964069898,0.904180062014621,True
158,28259.83966765958,1798.514738993417,0.9190819923749112,True
159,27924.734981945774,1796.8918401330895,1.5610408436452148,True
160,27767.02403801767,1796.2528193644926,0.6530689121777693,True
161,28319.825622991113,1795.2728769754794,1.468967449956594,True
162,28106.603039413196,1799.6677770420415,1.32706853764824,True
163,28039.57635189318,1796.9783302544577,1.6027569553608183,True
164,28108.387463352152,1795.9020451029792,1.3096066541313813,True
165,28320.963046087072,1797.1377344302182,0.8515115957743276,True
166,28075.04777895997,1796.7866985336552,0.782103751174135,True
167,28001.92611381281,1797.9321510440066,1.3826303968338793,True
168,27969.09135417165,1798.4868090745852,0.8819896685094494,True
169,27695.290373213902,1800.204187799107,0.7837931282211453,True
170,28137.34279861248,1797.2923358464013,1.5716752733294688,True
171,27935.094653091513,1795.8288518208653,1.8435291806123573,True
172,28271.857319187096,1798.7377320746166,1.0712627562515442,True
173,27900.415182230256,1799.7994431575692,1.8108215721240302,True
174,27497.49606572225,1799.9830500249168,1.4170905231889863,True
175,28193.79982328024,1797.7410747695167,0.9648531480653086,True
176,28037.292346986935,1799.9999544329814,1.5625916384264549,True
177,28237.421869749163,1798.6154327086724,0.9483383011749924,True
178,28157.16313673869,1794.844807082071,1.337517622491615,True
179,27788.01558327206,1803.4076978568633,1.0499329084957418,True
180,27966.818591539275,1799.74092363969,1.667101336765786,True
181,27757.06334221496,1800.8031631933804,1.5255111824430894,True
182,28149.029310773087,1795.0997564696268,1.3513973046774295,True
183,27778.139428116694,1796.291417894522,1.0091854497282817,True
184,27957.206900948844,1792.0609199587316,1.2349312314884053,True
185,27892.343724966202,1800.588398125878,1.1924970251990556,True
186,28054.722470846857,1797.6249326409695,1.568108728372422,True
187,27734.137332571823,1800.268662301612,1.0023467426388728,True
188,27631.981364721963,1803.2520145373262,1.157955496249256,True
189,28052.24807079073,1802.6544400365365,1.5932884257345146,True
190,28235.754486109825,1793.9623213004213,0.905057682513672,True
191,28243.534713682875,1797.0960608848654,1.381716794994731,True
192,28238.757108817084,1795.3853892990053,1.0697642265617344,True
193,27950.87268947852,1795.394686673767,1.312001521154507,True
194,27631.769221853534,1801.3955660688396,1.3627197573883882,True
195,28227.66549387923,1800.5862331585608,1.1079255659915994,True
196,27974.990494341597,1802.2305802308022,0.8513588368526772,True
197,28199.60049922536,1798.3663352192593,1.4616118883271798,True
198,27930.157133854027,1794.9438394104295,0.8938393002539522,True
199,28286.410563750567,1800.762417526308,1.1152511346206053,True
200,28083.795670781532,1798.8488916870665,1.185750045935845,True
201,27591.229674136317,1802.80962245242,1.138962623005541,True
202,27782.555651107,1802.7446416713537,0.9652049731690486,True
203,27799.541343300534,1799.1372314694736,1.5003878407047426,True
204,28062.990159054763,1797.8643969287684,0.9454648015571937,True
205,27539.57517793795,1799.5509313025455,1.2591712835854796,True
206,27917.639140468633,1794.6045415847925,0.9866425382170477,True
207,28297.923116199854,1800.3690526204587,0.8201599424846134,True
208,27725.453643304252,1796.2304965286826,0.9054337873031577,True
209,28210.30386389768,1796.364776041158,1.031037977433091,True
210,27733.28788420312,1800.2166988973984,1.3124867045794752,True
211,28019.94949601379,1796.830181818657,0.7926326863407034,True
212,28071.400574258776,1798.6035504874806,1.1695168789516457,True
213,27723.300088423774,1802.9109055707681,1.206510544652101,True
214,27875.739854543743,1802.779462672601,1.1722231944760808,True
215,28139.36182088067,1805.0111310707846,1.2233843080676723,True
216,28262.996090739034,1796.2059997130827,1.1045057125549307,True
217,27917.83821568595,1796.6460509173992,1.2217756993612052,True
218,28393.172033890743,1793.2506455960038,1.409294880918399,True
219,28081.831761170368,1800.6059005472566,0.9328726169169705,True
220,27959.593439681794,1794.6998303126381,1.120676456913928,True
221,28159.18852554248,1794.1057770821503,1.5297747834395823,True
222,27501.677877185426,1799.6116672008568,0.869570478019226,True
223,27870.894613722212,1801.177565464906,0.9887190874337326,True
224,28175.746429126724,1800.9774034996847,1.4472609821446647,True
225,28075.51751801668,1795.6387555086267,1.4429078516757645,True
226,28284.460719082177,1800.521232658384,0.6109789903471167,True
227,27789.23108366545,1791.1148985550622,0.7599395768527054,True
228,27962.468473843077,1796.8263384267473,1.4270435984861074,True
229,27771.70483731358,1798.9983047360283,1.325113041376622,True
230,27878.78354749462,1798.2755032595614,1.3230219741895548,True
231,28237.434175708295,1802.4970289147454,1.2439628758972225,True
232,27502.42392702265,1799.3355567839972,1.0784603874965677,True
233,27850.631145764408,1801.2071763626316,1.0264180884561729,True
234,27848.880774325127,1800.2819626718558,0.5901973017498945,True
235,28118.101170344427,1798.260356076372,1.1582290267813702,True
236,28098.14703976824,1794.9027310278439,1.1846675342010675,True
237,27433.83886286701,1804.6198419471043,1.447348232665798,True
238,27718.462944275998,1795.7260909671236,0.9807502263147486,True
239,28074.373417488212,1797.9719692140084,1.4235453254346555,True
240,27792.887815245078,1799.2581637132212,1.3467596564043403,True
241,28097.2010953443,1796.757441046599,1.1507774763557257,True
242,28316.535248537126,1793.4047797073363,0.9738556456915535,True
243,27879.354384095594,1801.129604647343,1.014363167630451,True
244,27987.3476255508,1803.3421927127395,1.1120697722050121,True
245,28134.33276004884,1798.7785600364452,0.8787890710709767,True
246,28128.10147517776,1794.368004106389,0.9800169849312741,True
247,27965.925577786493,1802.4258878562998,1.344118903932268,True
248,27973.079707924862,1798.2910939341166,1.0052129885528278,True
249,27945.030176049248,1801.565574670776,0.9827753147483409,True
250,28059.57178921788,1798.6477173010467,1.4821990182559732,True
251,27739.640782532133,1801.2525541403313,0.9861187412286025,True
252,27839.873596949667,1798.661394805083,1.1910318930785269,True
253,27746.337178437916,1798.4924651604476,0.9476893786985968,True
254,27955.53936749336,1802.3925908205442,1.089607668307096,True
255,27788.902962627766,1804.17799770441,0.9605934719264615,True
256,27471.98016306387,1796.6765644476773,1.017868634575776,True
257,27804.395483301094,1803.4255735014485,1.0939399582998321,True
258,28076.465889182222,1797.4910866830248,0.90792271326185,True
259,28080.11280678645,1798.4876491797586,1.468813142534085,True
260,27857.103074589537,1801.7483598616977,0.8863722896642181,True
261,27906.40208087358,1799.0145963078678,1.7619150340266838,True
262,27931.57069125985,1800.1913219266223,1.187799739309873,True
263,27742.003844273706,1799.9957194596795,1.2955770250053285,True
264,27675.471161985057,1802.1106890286796,0.9179577948905264,True
265,28068.903777655618,1796.5962598154197,1.0941105268936775,True
266,27756.83316857101,1797.3413212027235,1.460125735003475,True
267,27828.0363428106,1799.6274904030524,0.9230343259185869,True
268,27819.354485007698,1802.9829406359952,1.4994533004012633,True
269,28317.066085649338,1799.9422849645623,0.9219615330904932,True
270,27909.96012966951,1800.61439915276,1.2211135905202017,True
271,28249.881883096707,1797.7105237545945,1.061833027459142,True
272,27572.6243736251,1797.9690789142423,1.1271090214802728,True
273,27739.580974730936,1798.3211025480541,1.526384160915879,True
274,28018.84725877534,1804.5992403632522,0.9352630776572717,True
275,28163.612475474398,1798.239000120754,1.502911807376726,True
276,27843.102005861718,1801.631550732939,1.0849403480893614,True
277,27817.23993179636,1797.5224952889191,1.9494371419080943,True
278,28105.150883470636,1792.3994290810888,1.027859797757532,True
279,28090.48957969403,1797.3134828759355,0.9189581767912919,True
280,28248.291790628497,1794.3410451207515,1.1050248383598618,True
281,28084.107658463294,1797.8925136079201,0.8357234834863816,True
282,27886.52403373797,1799.2088611537845,1.1627450303175912,True
283,27911.05586404594,1798.7585023837314,1.8063699441413947,True
284,28164.03180168843,1798.6841961259931,1.098588102294818,True
285,27851.59213663942,1803.1135274723126,1.4201985994329793,True
286,27572.920153107476,1801.8643001088292,1.0018143852608072,True
287,27769.803210823768,1799.0318285066446,1.2638089915059827,True
288,27865.9880589394,1799.1829083899431,1.3526471978409043,True
289,28051.316604618278,1800.700962784543,1.0531523590698262,True
290,27831.824456671045,1798.1319439786773,1.1066203738159257,True
291,28048.576785122325,1795.845808100109,1.1680819748068603,True
292,27833.691576759586,1797.604150491322,1.193455132112031,True
293,28422.4433149931,1790.9929701554956,0.8485191872738738,True
294,28102.281285459867,1805.0996824694053,0.9472666155979558,True
295,27896.26071190565,1793.4761802852822,1.2026939854394831,True
296,28058.943795383046,1791.0976822323078,0.8934341864682338,True
297,27956.495763991694,1801.2594970827217,1.0505391373853188,True
298,28075.748970613542,1800.2961088959244,1.110821341235499,True
299,28106.061058827676,1799.0206011882083,0.9451029514844571,True
300,28046.943526528918,1798.8125360329266,1.3601687250687846,True
301,27848.671677037182,1796.5244097634843,0.5171573004885311,True
302,27870.361261272,1805.4002012102321,0.5163814356268818,True
303,27913.91621404179,1794.1583910682418,1.1251154040501352,True
304,27516.543371173837,1803.3663607465,0.8145221850780109,True
305,28191.10989123477,1794.157066985561,0.882806611917039,True
306,27744.8555419589,1799.1629222411825,1.4755185670240845,True
307,27671.293600034052,1799.888281838451,1.2327422318992758,True
