time_s,T1_C,T2_C,T3_C,T4_C,T5_C,delta_T12_C,delta_T23_C,delta_T34_C,delta_T45_C,power_MW,cumulative_heat_GJ
71.50000000,563.94222202,553.60440520,517.97568817,429.16861634,331.86212524,10.33781682,35.62871702,88.80707183,97.30649110,0.00000000,0.00000000
72.00000000,563.93480260,553.59462979,517.96169331,429.16293014,331.87491503,10.34017281,35.63293648,88.79876316,97.28801511,0.00000000,0.00000000
72.50000000,563.92738287,553.58485417,517.94770065,429.15724568,331.88770165,10.34252870,35.63715352,88.79045497,97.26954404,0.00000000,0.00000000
73.00000000,563.91996283,553.57507835,517.93371022,429.15156296,331.90048508,10.34488447,35.64136814,88.78214726,97.25107788,0.00000000,0.00000000
73.50000000,563.91254248,553.56530233,517.91972199,429.14588197,331.91326533,10.34724015,35.64558034,88.77384002,97.23261664,0.00000000,0.00000000
74.00000000,563.90512182,553.55552611,517.90573598,429.14020272,331.92604240,10.34959571,35.64979013,88.76553326,97.21416032,0.00000000,0.00000000
74.50000000,563.89770085,553.54574969,517.89175218,429.13452519,331.93881629,10.35195117,35.65399751,88.75722698,97.19570890,0.00000000,0.00000000
75.00000000,563.89027957,553.53597306,517.87777059,429.12884941,331.95158701,10.35430651,35.65820247,88.74892118,97.17726239,0.00000000,0.00000000
75.50000000,563.88285799,553.52619623,517.86379121,429.12317535,331.96435455,10.35666175,35.66240503,88.74061586,97.15882080,0.00000000,0.00000000
76.00000000,563.87543609,553.51641920,517.84981404,429.11750302,331.97711891,10.35901688,35.66660517,88.73231102,97.14038411,0.00000000,0.00000000
76.50000000,563.86801388,553.50664198,517.83583908,429.11183243,331.98988010,10.36137191,35.67080290,88.72400665,97.12195232,0.00000000,0.00000000
77.00000000,563.86059136,553.49686455,517.82186633,429.10616356,332.00263812,10.36372682,35.67499822,88.71570277,97.10352544,0.00000000,0.00000000
77.50000000,563.85316854,553.48708692,517.80789579,429.10049643,332.01539296,10.36608162,35.67919113,88.70739937,97.08510347,0.00000000,0.00000000
78.00000000,563.84574540,553.47730909,517.79392746,429.09483102,332.02814463,10.36843631,35.68338163,88.69909644,97.06668639,0.00000000,0.00000000
78.50000000,563.83832196,553.46753107,517.77996134,429.08916734,332.04089313,10.37079089,35.68756973,88.69079400,97.04827421,0.00000000,0.00000000
79.00000000,563.83089820,553.45775284,517.76599742,429.08350538,332.05363845,10.37314536,35.69175542,88.68249204,97.02986693,0.00000000,0.00000000
79.50000000,563.82347414,553.44797442,517.75203571,429.07784515,332.06638061,10.37549972,35.69593871,88.67419056,97.01146455,0.00000000,0.00000000
80.00000000,563.81604976,553.43819580,517.73807621,429.07218665,332.07911960,10.37785396,35.70011959,88.66588956,96.99306706,0.00000000,0.00000000
80.50000000,563.80862508,553.42841698,517.72411891,429.06652987,332.09185541,10.38020810,35.70429807,88.65758904,96.97467446,0.00000000,0.00000000
81.00000000,563.80120009,553.41863797,517.71016382,429.06087482,332.10458807,10.38256212,35.70847415,88.64928900,96.95628675,0.00000000,0.00000000
81.50000000,563.79377478,553.40885876,517.69621093,429.05522148,332.11731755,10.38491603,35.71264783,88.64098945,96.93790393,0.00000000,0.00000000
82.00000000,563.78634917,553.39907935,517.68226025,429.04956988,332.13004387,10.38726982,35.71681910,88.63269037,96.91952600,0.00000000,0.00000000
82.50000000,563.77892325,553.38929975,517.66831177,429.04391999,332.14276702,10.38962351,35.72098798,88.62439178,96.90115296,0.00000000,0.00000000
83.00000000,563.77149702,553.37951995,517.65436550,429.03827182,332.15548701,10.39197707,35.72515445,88.61609368,96.88278480,0.00000000,0.00000000
83.50000000,563.76407048,553.36973995,517.64042142,429.03262537,332.16820384,10.39433053,35.72931853,88.60779605,96.86442153,0.00000000,0.00000000
84.00000000,563.75664363,553.35995977,517.62647956,429.02698064,332.18091751,10.39668387,35.73348021,88.59949891,96.84606314,0.00000000,0.00000000
84.50000000,563.74921647,553.35017938,517.61253989,429.02133763,332.19362801,10.39903709,35.73763950,88.59120225,96.82770962,0.00000000,0.00000000
85.00000000,563.74178901,553.34039881,517.59860242,429.01569634,332.20633535,10.40139020,35.74179639,88.58290608,96.80936099,0.00000000,0.00000000
