time_s,demand_MW,actual_MW,q_kg_s,T1_C,T2_C,T3_C,T4_C,T5_C
480,12.0,11.949073831733568,29.260229900096434,562.2815976686666,547.5288283631702,503.3790864296252,413.1420971200244,324.15681486469686
490,12.0,11.946145935856958,29.260229900096434,562.2150961956189,547.3555661817944,503.0328214938274,412.81121369316367,324.04421669125986
500,12.0,11.943199773660426,29.260229900096434,562.1481789914333,547.181653979035,502.6866559873163,412.48117979209695,323.93199085154083
510,12.0,11.940235306001343,29.260229900096434,562.0808451567361,547.0070947297347,502.3405926713981,412.15199339746454,323.82013606424357
520,12.0,11.937252494397976,29.260229900096434,562.013093807245,546.831891407055,501.994634288804,411.82365249378114,323.70865105266614
530,12.0,11.934251301026636,29.260229900096434,561.944924073703,546.6560469824132,501.6487835637813,411.496155069434,323.5975345446838
540,12.0,11.931231688718771,29.260229900096434,561.8763351018127,546.4795644254216,501.30304320218414,411.169499116681,323.48678527273194
550,12.0,11.928193620958103,29.260229900096434,561.8073260521711,546.3024467038261,500.9574158915634,410.84368263164873,323.37640197378903
560,12.0,11.925137061877752,29.260229900096434,561.7378961002037,546.1246967834464,500.6119043012567,410.5187036143306,323.2663833893596
570,12.0,11.922061976257343,29.260229900096434,561.6680444360987,545.9463176281154,500.2665110824776,410.1945600685847,323.15672826545733
580,12.0,11.918968329520133,29.260229900096434,561.597770264742,545.7673121996206,499.9212388684048,409.8712500021317,323.04743535258837
590,12.0,11.91585608773016,29.260229900096434,561.5270728056515,545.5876834576455,499.5760902742706,409.54877142655306,322.93850340573437
600,12.0,11.99840911363582,29.470711401471284,561.4559512929112,545.4074343597114,499.23106789744924,409.2271223572885,322.829931184336
610,12.0,11.99521780500411,29.470711401471284,561.3839754481318,545.2253363058522,498.8837830184524,408.90401034209674,322.7208478851823
620,12.0,11.992007400850452,29.470711401471284,561.3115680061406,545.0426150950516,498.53663081719156,408.58173508314076,322.6121276624066
630,12.0,11.988777868886363,29.470711401471284,561.2387282291817,544.8592737377837,498.1896138929608,408.2602945717357,322.5037692586646
640,12.0,11.985529177471513,29.470711401471284,561.1654553941943,544.6753152420877,497.84273482707107,407.9396868031071,322.3957714211483
650,12.0,11.98226129561074,29.470711401471284,561.0917487927464,544.49074261351,497.4959961829397,407.6199097763891,322.288132901569
660,12.0,11.978974192951075,29.470711401471284,561.0176077309667,544.3055588550479,497.14940050617855,407.30096149462173,322.18085245614
670,12.0,11.97566783977875,29.470711401471284,560.9430315294773,544.1197669670939,496.8029503246828,406.9828399647494,322.0739288455599
680,12.0,11.972342207016233,29.470711401471284,560.8680195233263,543.9333699473792,496.45664814871867,406.6655431976183,321.9673608349959
690,12.0,11.968997266219262,29.470711401471284,560.7925710619209,543.7463707909196,496.110496471011,406.34906920797425,321.8611471940665
700,12.0,11.965632989573844,29.470711401471284,560.7166855089595,543.5587724899607,495.76449776683046,406.03341601446033,321.75528669682546
710,12.0,11.96224934989331,29.470711401471284,560.640362242365,543.370578033924,495.4186544940803,405.7185816396147,321.6497781217446
720,12.0,11.958846320615356,29.470711401471284,560.5636006542173,543.1817904093539,495.07296909338265,405.40456410986815,321.54462025169744
730,12.0,11.955423875799042,29.470711401471284,560.4864001506869,542.9924125998647,494.7274439881649,405.0913614555418,321.43981187394274
740,12.0,11.951981990121867,29.470711401471284,560.4087601519668,542.8024475860883,494.38208158474504,404.77897171084453,321.3353517801079
