R_m,H_m,V_m3,surface_m2,mass_kg,K_W_K,UA_top_W_K,energy_upper_MWh
2.05,9.75,128.72479548543325,151.99025258067417,231704.63187377984,643.2008189936179,122.6226444549168,18.343283356674238
2.05,9.875,130.37511337627214,153.60031881563893,234675.20407728985,635.0590364747113,123.65308684529424,18.578453656118782
2.05,10.0,132.02543126711103,155.21038505060372,237645.77628079982,627.1207985187774,124.68352923567168,18.81362395556332
2.1,5.0,69.27211801165494,93.68229293004764,124689.81242097888,1316.1702422214441,86.557160791706,9.871276816660828
2.1,5.125,71.0039209619463,95.33162907318227,127807.05773150336,1284.0685289965309,87.61273592331216,10.11805873707735
2.1,5.25,72.73572391223769,96.98096521631692,130924.30304202784,1253.4954687823276,88.66831105491832,10.364840657493868
2.1,5.375,74.46752686252906,98.63030135945156,134041.5483525523,1224.3444113687851,89.72388618652451,10.611622577910389
2.1,5.5,76.19932981282044,100.2796375025862,137158.7936630768,1196.5184020194947,90.77946131813067,10.858404498326914
2.1,5.625,77.9311327631118,101.92897364572084,140276.03897360124,1169.9291041968393,91.83503644973683,11.105186418743433
2.1,5.75,79.66293571340317,103.57830978885548,143393.28428412572,1144.4958628012557,92.89061158134301,11.351968339159953
2.1,5.875,81.39473866369455,105.22764593199012,146510.5295946502,1120.1448869969738,93.94618671294918,11.598750259576475
2.1,6.0,83.12654161398592,106.87698207512476,149627.77490517465,1096.8085351845368,95.00176184455535,11.845532179992993
2.1,6.125,84.8583445642773,108.5263182182594,152745.02021569916,1074.4246875277095,96.05733697616151,12.092314100409515
2.1,6.25,86.59014751456867,110.17565436139405,155862.2655262236,1052.9361937771553,97.1129121077677,12.339096020826034
2.1,6.375,88.32195046486005,111.82499050452869,158979.5108367481,1032.2903860560345,98.16848723937386,12.585877941242558
2.1,6.5,90.05375341515142,113.47432664766333,162096.75614727256,1012.4386478626493,99.22406237098002,12.832659861659078
2.1,6.625,91.78555636544279,115.12366279079797,165214.001457797,993.3360318652408,100.2796375025862,13.079441782075596
2.1,6.75,93.51735931573417,116.77299893393261,168331.2467683215,974.9409201640327,101.33521263419237,13.326223702492118
2.1,6.875,95.24916226602554,118.42233507706726,171448.49207884597,957.2147216155957,102.39078776579854,13.573005622908639
2.1,7.0,96.98096521631692,120.07167122020189,174565.73738937045,940.1216015867458,103.44636289740471,13.819787543325159
2.1,7.125,98.71276816660829,121.72100736333654,177682.9826998949,923.6282401553993,104.50193802901089,14.06656946374168
