time_s,time_h,demand_MW,actual_MW,q_kg_s,pump_kW,T1_C,T2_C,T3_C,T4_C,T5_C
1300,0.3611111111111111,12.0,0.0,0.0,0.0,544.8924357432054,529.6630718840054,489.18555622550394,418.9729910263769,355.42338648012475
1310,0.3638888888888889,12.0,0.0,0.0,0.0,544.731926616637,529.4728430702954,488.9893082230191,418.9115306016549,355.56254618028805
1320,0.36666666666666664,12.0,0.0,0.0,0.0,544.5713538251943,529.282733082901,488.79356505427177,418.85029923173164,355.7010163407763
1330,0.36944444444444446,12.0,0.0,0.0,0.0,544.4107179841892,529.092742562849,488.5983244349971,418.7892947569327,355.83880012808913
1340,0.37222222222222223,12.0,0.0,0.0,0.0,544.2500197088721,528.902872141349,488.4035840914498,418.72851503512317,355.97590069055065
1350,0.375,12.0,0.0,0.0,0.0,544.0892596143995,528.7131224398943,488.2093417603578,418.66795794156377,356.1123211584304
1360,0.37777777777777777,12.0,0.0,0.0,0.0,543.9284383158026,528.5234940703617,488.0155951888767,418.60762136876815,356.24806464406396
1370,0.38055555555555554,12.0,0.0,0.0,0.0,543.7675564279566,528.3339876351106,487.82234213454376,418.5475032263611,356.383134241972
1380,0.38333333333333336,12.0,0.0,0.0,0.0,543.6066145655494,528.1446037270808,487.62958036523236,418.4876014409382,356.51753302897913
1390,0.3861111111111111,12.0,0.0,0.0,0.0,543.4456133430522,527.95534292989,487.4373076591068,418.4279139559267,356.65126406433126
1400,0.3888888888888889,12.0,0.0,0.0,0.0,543.2845533746889,527.7662058179296,487.24552180457704,418.3684387314474,356.7843303898126
1410,0.39166666666666666,12.0,0.0,0.0,0.0,543.1234352744076,527.5771929564606,487.05422060025353,418.3091737441777,356.91673502986146
1420,0.39444444444444443,12.0,0.0,0.0,0.0,542.962259655851,527.3883049017076,486.86340185490246,418.25011698721624,357.0484809916853
1430,0.3972222222222222,12.0,0.0,0.0,0.0,542.8010271323279,527.1995422009524,486.67306338740104,418.1912664699479,357.179571265375
1440,0.4,12.0,0.0,0.0,0.0,542.6397383167858,527.0109053926268,486.483203026693,418.13262021791064,357.31000882401815
1450,0.4027777777777778,12.0,0.0,0.0,0.0,542.4783938217824,526.8223950064046,486.2938186117441,418.0741762726633,357.4397966238117
1460,0.40555555555555556,12.0,0.0,0.0,0.0,542.3169942594586,526.6340115632921,486.1049079914981,418.0159326916542,357.56893760417347
1470,0.4083333333333333,12.0,0.0,0.0,0.0,542.1555402415114,526.4457555757187,485.91646902483274,417.95788754809126,357.69743468785333
1480,0.4111111111111111,12.0,0.0,0.0,0.0,541.9940323791677,526.2576275476259,485.7284995805156,417.9000389308131,357.825290781043
1490,0.41388888888888886,12.0,0.0,0.0,0.0,541.8324712831579,526.0696279745556,485.5409975371607,417.842384944161,357.9525087734855
1500,0.4166666666666667,12.0,0.0,0.0,0.0,541.6708575636902,525.8817573437381,485.353960783185,417.7849237078522,358.0790915385833
1510,0.41944444444444445,12.0,0.0,0.0,0.0,541.5091918304252,525.6940161341785,485.16738721676484,417.7276533568543,358.20504193350655
1520,0.4222222222222222,12.0,0.0,0.0,0.0,541.3474746924506,525.5064048167429,484.98127474579286,417.6705720412606,358.3303627992994
1530,0.425,12.0,0.0,0.0,0.0,541.1857067582573,525.3189238542437,484.79562128783493,417.6136779261662,358.4550569609863
1540,0.42777777777777776,12.0,0.0,0.0,0.0,541.0238886357145,525.1315737015234,484.6104247700874,417.556969191546,358.5791272276774
1550,0.4305555555555556,12.0,0.0,0.0,0.0,540.8620209320457,524.9443548055386,484.42568312933423,417.50044403213275,358.702576392673
1560,0.43333333333333335,12.0,0.0,0.0,0.0,540.7001042538055,524.757267605443,484.24139431190474,417.4441006572968,358.8254072335673
